"","text","lang","possibly_sensitive","author_id","reply_settings","created_at.x","conversation_id","id","in_reply_to_user_id","profile_image_url","verified","location","url","protected","username","description","created_at.y","name","pinned_tweet_id","public_metrics.x_retweet_count","public_metrics.x_reply_count","public_metrics.x_like_count","public_metrics.x_quote_count","public_metrics.x_impression_count","public_metrics.y_followers_count","public_metrics.y_following_count","public_metrics.y_tweet_count","public_metrics.y_listed_count","geo_place_id","text_with_display_links"
"134","@GovRonDeSantis GROW UP! Take care of the environmental disaster called PHOSPHATE MINING! Stop allowing toxic waste to be dumped in #TampaBay &amp; #GulfofMexico! #PineyPoint
 #StopThePoisoning #Nosaic #FLAlgaeCrisis #BanFertilizers #WaterIsLife #CleanWater #SWFL #BlueGreenAlgae. ","en",FALSE,"101929521","everyone",2021-04-09 17:59:58,"1380502186531160070","1380581266379132930","1058807868","https://pbs.twimg.com/profile_images/1026627019960983552/y3nQnXYa_normal.jpg",FALSE,"Florida, USA",NA,FALSE,"Bakernl","Semi-retired former exec assistant now enjoying life. Promoter of positive actions to protect our precious natural environment and all the creatures within it.","2010-01-05T02:21:03.000Z","Thalassophile",NA,0,0,0,0,0,31,264,1215,3,NA,"@GovRonDeSantis GROW UP! Take care of the environmental disaster called PHOSPHATE MINING! Stop allowing toxic waste to be dumped in #TampaBay &amp; #GulfofMexico! #PineyPoint
 #StopThePoisoning #Nosaic #FLAlgaeCrisis #BanFertilizers #WaterIsLife #CleanWater #SWFL #BlueGreenAlgae"
"135","@Rita01325239 Our friends (aka tourists) cannot trust their health to #Florida's #MAGA #Republican #COVIDIOTS....
#RedTide #BlueGreenAlgae #CaneToads #DeSantis #Miami #Tampa #Orlando #Broward #Jacksonville. ","en",FALSE,"797631672363679745","everyone",2021-04-09 20:18:56,"1380606420014407681","1380616236413808640","1268783793654992903","https://pbs.twimg.com/profile_images/807194312480014336/0Pv3PGNP_normal.jpg",FALSE,NA,NA,FALSE,"Shimha18","Russia is a terrorist state and should be Tweeted as such.
#StandWithUkraine️ #StandUpForUkraine #USA #EU","2016-11-13T02:46:24.000Z","David Feld","1604673175216074752",0,0,1,0,0,540,3007,47976,2,NA,"@Rita01325239 Our friends (aka tourists) cannot trust their health to #Florida's #MAGA #Republican #COVIDIOTS....
#RedTide #BlueGreenAlgae #CaneToads #DeSantis #Miami #Tampa #Orlando #Broward #Jacksonville"
"136",".@FLDEPNews says varying levels of cyanotoxins have been identified in Tampa Bay, increasing chances that the discharge at Piney Point will trigger a blue-green algae bloom. . https   wusfnews wusf usf edu environment 2021 04 17 heightened blue green algae levels found in waters near piney point","en",FALSE,"17544442","everyone",2021-04-17 14:45:30,"1383431429116235785","1383431429116235785",NA,"https://pbs.twimg.com/profile_images/882569215559028736/RMkZ8wkh_normal.jpg",TRUE,"Tampa, FL","https://t.co/KBo4cZ3VYG",FALSE,"wusf","WUSF Public Media is the Tampa Bay area’s source for news, in-depth reporting, educational programming, arts, and the finest classical music.","2008-11-21T20:07:08.000Z","WUSF",NA,6,0,2,0,0,14648,2305,37921,483,NA,".@FLDEPNews says varying levels of cyanotoxins have been identified in Tampa Bay, increasing chances that the discharge at Piney Point will trigger a blue-green algae bloom. https://t.co/kMQ8Ca42nv"
"137","RT @wusf: .@FLDEPNews says varying levels of cyanotoxins have been identified in Tampa Bay, increasing chances that the discharge at Piney…","en",FALSE,"33069210","everyone",2021-04-17 14:50:18,"1383432636815659009","1383432636815659009",NA,"https://pbs.twimg.com/profile_images/1610520480380846082/40uZveCe_normal.jpg",FALSE,"fascist Floriduh",NA,FALSE,"MandaGator","like: kitties, soup, Rays ⚾ & Lightning 🏒 

#MaskedForever #IronKitty","2009-04-19T00:39:54.000Z","@MandaGator (she/her)","1055939044771799041",6,0,0,0,0,1522,1605,212337,62,NA,".@FLDEPNews says varying levels of cyanotoxins have been identified in Tampa Bay, increasing chances that the discharge at Piney Point will trigger a blue-green algae bloom. https://t.co/kMQ8Ca42nv"
"138","RT @wusf: .@FLDEPNews says varying levels of cyanotoxins have been identified in Tampa Bay, increasing chances that the discharge at Piney…","en",FALSE,"730963068","everyone",2021-04-17 14:54:10,"1383433610015875087","1383433610015875087",NA,"https://pbs.twimg.com/profile_images/1101507802181365765/dw5MfqNI_normal.jpg",TRUE,"Palm Harbor, FL",NA,FALSE,"wusfschreiner","Asst. News Director / Intern Coordinator, WUSF 89.7 FM.
Enjoys wine & a good IPA, good friends and great writing.","2012-08-01T16:09:25.000Z","Mark Schreiner",NA,6,0,0,0,0,1586,2869,20505,57,NA,".@FLDEPNews says varying levels of cyanotoxins have been identified in Tampa Bay, increasing chances that the discharge at Piney Point will trigger a blue-green algae bloom. https://t.co/kMQ8Ca42nv"
"139","RT @wusf: .@FLDEPNews says varying levels of cyanotoxins have been identified in Tampa Bay, increasing chances that the discharge at Piney…","en",FALSE,"390281832","everyone",2021-04-17 14:59:00,"1383434826875695117","1383434826875695117",NA,"https://pbs.twimg.com/profile_images/895965480438996994/72cmaIZw_normal.jpg",TRUE,"Tampa, Florida","https://t.co/rAtiHyApXZ",FALSE,"MaryShedden","News Director @NPR affiliate @WUSF, former @HealthNewsFL editor, @TBO.com, @TheAlligator, @UFJSchool Alum. She/Her","2011-10-13T18:55:53.000Z","Mary Shedden",NA,6,0,0,0,0,2942,2932,9805,163,NA,".@FLDEPNews says varying levels of cyanotoxins have been identified in Tampa Bay, increasing chances that the discharge at Piney Point will trigger a blue-green algae bloom. https://t.co/kMQ8Ca42nv"
"140","RT @wusf: .@FLDEPNews says varying levels of cyanotoxins have been identified in Tampa Bay, increasing chances that the discharge at Piney…","en",FALSE,"20930240","everyone",2021-04-17 15:04:11,"1383436130457034760","1383436130457034760",NA,"https://pbs.twimg.com/profile_images/1581114670429134849/7MII8y25_normal.jpg",FALSE,"Lakeland, FL",NA,FALSE,"SouthernJewel","🇺🇦 😷 #StandWithUkraine #LoverOfCarbs “Morality in terms of behavior, not in terms of theology” Frank Zappa 👋 SouthernJewel on Post, Spoutible and Mastadon","2009-02-15T19:25:19.000Z","Donna in Lakeland FL","1565534633130954753",6,0,0,0,0,1548,484,124007,28,NA,".@FLDEPNews says varying levels of cyanotoxins have been identified in Tampa Bay, increasing chances that the discharge at Piney Point will trigger a blue-green algae bloom. https://t.co/kMQ8Ca42nv"
"141","RT @wusf: .@FLDEPNews says varying levels of cyanotoxins have been identified in Tampa Bay, increasing chances that the discharge at Piney…","en",FALSE,"751811102175064065","everyone",2021-04-17 15:49:07,"1383447439374381066","1383447439374381066",NA,"https://pbs.twimg.com/profile_images/1451641664607604739/2ovGtuQJ_normal.jpg",FALSE,"Florida, USA",NA,FALSE,"calusawater","Proud member of Waterkeeper Alliance for #fishable #swimmable #drinkable #cleanwater","2016-07-09T16:11:49.000Z","Calusa Waterkeeper","1583643632804188160",6,0,0,0,0,2251,4966,44629,71,NA,".@FLDEPNews says varying levels of cyanotoxins have been identified in Tampa Bay, increasing chances that the discharge at Piney Point will trigger a blue-green algae bloom. https://t.co/kMQ8Ca42nv"
"142","RT @wusf: .@FLDEPNews says varying levels of cyanotoxins have been identified in Tampa Bay, increasing chances that the discharge at Piney…","en",FALSE,"2521267687","everyone",2021-04-17 19:47:30,"1383507432303857665","1383507432303857665",NA,"https://pbs.twimg.com/profile_images/1289986112509763585/ycCVfX77_normal.jpg",TRUE,"St. Petersburg, Florida",NA,FALSE,"LPeakes","Host @NPR Tampa affiliate @WUSF (Prev. @vprnet & @nhpr)// PNBA Pro natural figure athlete (60+)// Emerson College/Norwich University. Arts enthusiast. she/her","2014-05-24T20:08:21.000Z","Lisa Peakes🎙",NA,6,0,0,0,0,429,218,1314,19,NA,".@FLDEPNews says varying levels of cyanotoxins have been identified in Tampa Bay, increasing chances that the discharge at Piney Point will trigger a blue-green algae bloom. https://t.co/kMQ8Ca42nv"
"143","New on @wusf: How the pandemic has taken a tool on teens' mental health, what schools across Tampa Bay are planning for the fall semester, and elevated levels of blue-green algae found in waters near Piney Point. And how you can support our journalism. . https   wusfnews wusf usf edu","en",FALSE,"14451013","everyone",2021-04-19 12:21:28,"1384119959698042892","1384119959698042892",NA,"https://pbs.twimg.com/profile_images/746772237026533376/1vvknRG0_normal.jpg",TRUE,"Safety Harbor, FL","https://t.co/jbyZbUVXNj",FALSE,"carlmarksWUSF","Digital news editor for @NPR affiliate @WUSF. Previously with @TB_Times and @TBOcom. Early guy, man of faith, Gator, Jersey transplant.","2008-04-20T11:42:15.000Z","Carl Lisciandrello",NA,1,0,0,0,0,1400,1087,8586,62,NA,"New on @wusf: How the pandemic has taken a tool on teens' mental health, what schools across Tampa Bay are planning for the fall semester, and elevated levels of blue-green algae found in waters near Piney Point. And how you can support our journalism. https://t.co/fplGNB0ehO"
