"","text","created_at.x","author_id","id","lang","possibly_sensitive","reply_settings","conversation_id","in_reply_to_user_id","created_at.y","name","url","description","location","profile_image_url","verified","username","protected","geo_place_id","public_metrics.x_retweet_count","public_metrics.x_reply_count","public_metrics.x_like_count","public_metrics.x_quote_count","public_metrics.x_impression_count","public_metrics.y_followers_count","public_metrics.y_following_count","public_metrics.y_tweet_count","public_metrics.y_listed_count"
"1","This discussion, at Thursday’s @StPeteFL council meeting, was about a string of recent wastewater spills that totaled 2 million gallons, including one that contaminated a park lake. Here’s that story https://t.co/NXUT9FtchW",2018-12-15 16:16:49,"234007105","1073975174997991430","en",FALSE,"everyone","1073974562805690368","234007105","2011-01-04T16:50:04.000Z","Josh Solomon","https://t.co/legWM94AHg","Former @TB_times reporter. @MedillSchool grad. That mantra that all pizza is good pizza is patently false.","Tampa, Florida","https://pbs.twimg.com/profile_images/1133834153886191616/7Qn4tprL_normal.png",FALSE,"ByJoshSolomon",FALSE,"5d231ed8656fcf5a",0,1,0,0,0,2372,1804,5204,86
"2","@KevCKing https://t.co/Vx5ftXL5Gp",2018-12-24 22:39:38,"234007105","1077333001367941120","qme",FALSE,"everyone","1077265002673909764","241599125","2011-01-04T16:50:04.000Z","Josh Solomon","https://t.co/legWM94AHg","Former @TB_times reporter. @MedillSchool grad. That mantra that all pizza is good pizza is patently false.","Tampa, Florida","https://pbs.twimg.com/profile_images/1133834153886191616/7Qn4tprL_normal.png",FALSE,"ByJoshSolomon",FALSE,"5d231ed8656fcf5a",0,1,2,0,0,2372,1804,5204,86
"3","Been a tough couple days for the Tampa Bay area's wastewater systems. Between Clearwater, St. Pete and Tampa, nearly 1 million gallons of wastewater spilled since Thursday. https://t.co/Vx5ftXL5Gp",2018-12-24 22:41:29,"234007105","1077333470857363456","en",FALSE,"everyone","1077333470857363456",NA,"2011-01-04T16:50:04.000Z","Josh Solomon","https://t.co/legWM94AHg","Former @TB_times reporter. @MedillSchool grad. That mantra that all pizza is good pizza is patently false.","Tampa, Florida","https://pbs.twimg.com/profile_images/1133834153886191616/7Qn4tprL_normal.png",FALSE,"ByJoshSolomon",FALSE,"5d231ed8656fcf5a",0,1,1,1,0,2372,1804,5204,86
