"","text","created_at.x","reply_settings","possibly_sensitive","lang","id","conversation_id","author_id","in_reply_to_user_id","name","location","description","username","verified","protected","profile_image_url","created_at.y","public_metrics.x_retweet_count","public_metrics.x_reply_count","public_metrics.x_like_count","public_metrics.x_quote_count","public_metrics.x_bookmark_count","public_metrics.x_impression_count","public_metrics.y_followers_count","public_metrics.y_following_count","public_metrics.y_tweet_count","public_metrics.y_listed_count","public_metrics.y_like_count","text_with_display_links","url"
"1","@amuse He is my rep. Owned  Ford dealership, lives in a mansion on Longboat Key,son is RICH,long time swamper.  Hurricane Ian he was mia,red tide mia.

He hates us.",2023-10-20 11:37:40,"everyone",FALSE,"en","1715331444833194390","1715263704760045773","1315719032834850822","4239551","Venice Florida","Florida","AMERICAN PATRIOT FAMILY SINCE 1690
Florida lover.","BobbyMe25857753",FALSE,FALSE,"https://pbs.twimg.com/profile_images/1543950609266638849/QoKSZlhl_normal.jpg","2020-10-12T18:20:50.000Z",0,0,1,0,0,28,303,1013,2664,3,1069,"@amuse He is my rep. Owned  Ford dealership, lives in a mansion on Longboat Key,son is RICH,long time swamper.  Hurricane Ian he was mia,red tide mia.

He hates us.",NA
"2","@DC_Draino @VernBuchanan Vern owns a beautiful home on Longboat Key and a car dealership Ford here. His handler Ron Turner was a local swamper and he always gave me the swamp feeling years ago  Stuebe Gruters local reps seem like real guys  His kids are also spoiled  Never saw him after Ian or Red Tide🤡",2023-10-19 23:41:53,"everyone",FALSE,"en","1715151313061728272","1715145541460357253","1315719032834850822","875856268056969216","Venice Florida","Florida","AMERICAN PATRIOT FAMILY SINCE 1690
Florida lover.","BobbyMe25857753",FALSE,FALSE,"https://pbs.twimg.com/profile_images/1543950609266638849/QoKSZlhl_normal.jpg","2020-10-12T18:20:50.000Z",0,0,0,0,0,4,303,1013,2664,3,1069,"@DC_Draino @VernBuchanan Vern owns a beautiful home on Longboat Key and a car dealership Ford here. His handler Ron Turner was a local swamper and he always gave me the swamp feeling years ago  Stuebe Gruters local reps seem like real guys  His kids are also spoiled  Never saw him after Ian or Red Tide🤡",NA
"3","@DeSantisWarRoom I'm done with you. Never again.  Liar who didn't keep his commitments and who's utterly bought off by The Big Developers. Manatee County wetlands evisceration a perfect example. Good luck catching fish when there's no mangroves. Enjoy the red tide from the fertilizers. Duplicity",2023-08-25 21:40:08,"everyone",FALSE,"en","1695189340488429700","1695153435002221053","1601310670254899200","1558263729913053192","John E Ochotnicky",NA,"","hurricanejohne",FALSE,FALSE,"https://pbs.twimg.com/profile_images/1601312285477281794/_mnL77qU_normal.jpg","2022-12-09T20:22:56.000Z",0,0,1,0,0,5,50,80,1894,0,NA,"@DeSantisWarRoom I'm done with you. Never again.  Liar who didn't keep his commitments and who's utterly bought off by The Big Developers. Manatee County wetlands evisceration a perfect example. Good luck catching fish when there's no mangroves. Enjoy the red tide from the fertilizers. Duplicity",NA
"4","Hatchery might be part of bigger plan with Manatee County to mitigate red tide -  #GoogleAlerts. https   baynews9 com fl tampa news 2023 08 23 hatchery in manatee might be part of a bigger plan with the county to mitigate red tide",2023-08-24 12:20:29,"everyone",FALSE,"en","1694686111849697354","1694686111849697354","534263140",NA,"Florida Issues",NA,"","FloridaIssues",FALSE,FALSE,"https://pbs.twimg.com/profile_images/1169906487172333577/HqrgWFkr_normal.jpg","2012-03-23T12:49:26.000Z",0,0,0,0,0,17,1048,9,144151,37,NA,"Hatchery might be part of bigger plan with Manatee County to mitigate red tide - https://t.co/I06gHwDmoy #GoogleAlerts",NA
"5","Manatee County and U.S. Rep. Vern Buchanan are partnering with the not for profit All Clams on Deck to mitigate the red tide issue. . https   baynews9 com fl tampa news 2023 08 23 hatchery in manatee might be part of a bigger plan with the county to mitigate red tide",2023-08-24 02:30:02,"everyone",FALSE,"en","1694537518568345938","1694537518568345938","17308428",NA,"Spectrum Bay News 9","Tampa Bay area","Breaking news first in Tampa Bay. Continuous updates and in-depth coverage only @BN9, @BN9weather and @BN9Traffic can provide  |  News. Weather. Now.","BN9",FALSE,FALSE,"https://pbs.twimg.com/profile_images/1630693829987688449/Fit4Xfso_normal.png","2008-11-11T12:03:53.000Z",1,0,1,0,0,2014,381941,452,151622,1743,NA,"Manatee County and U.S. Rep. Vern Buchanan are partnering with the not for profit All Clams on Deck to mitigate the red tide issue. https://t.co/LmQ1o9sRe6","https://t.co/gwUSHziS5S"
"6","Terrible loss of wetland protections will lead to flooding &amp; pollute water &amp; fuel Red Tide as #ManateeCounty cedes local control to the State on a 6-1 vote. Only @GWKRuse voted with the science for clean water. @Craigtimes @TBEP1991 @SierraClubFL @tbwaterkeeper . https   twitter com GWKruse status 1692859368679604469",2023-08-21 17:14:45,"everyone",FALSE,"en","1693673002766860467","1693673002766860467","17563658",NA,"Mariella Smith","Tampa Bay area","Former Hillsborough County Commissioner, Countywide. Passionate about smart growth management, transportation options, environment, #VisionZero, equity.","MariellaSmith",FALSE,FALSE,"https://pbs.twimg.com/profile_images/947149405664284672/XQXZ4Tdu_normal.jpg","2008-11-22T21:55:42.000Z",0,0,1,0,0,123,1091,1088,1232,27,NA,"Terrible loss of wetland protections will lead to flooding &amp; pollute water &amp; fuel Red Tide as #ManateeCounty cedes local control to the State on a 6-1 vote. Only @GWKRuse voted with the science for clean water. @Craigtimes @TBEP1991 @SierraClubFL @tbwaterkeeper https://t.co/5Iql4zEhIF","https://t.co/x2FLlFaUhD"
