"","text","author_id","reply_settings","created_at.x","id","possibly_sensitive","conversation_id","lang","location","verified","profile_image_url","username","name","pinned_tweet_id","protected","description","url","created_at.y","public_metrics.x_retweet_count","public_metrics.x_reply_count","public_metrics.x_like_count","public_metrics.x_quote_count","public_metrics.x_impression_count","public_metrics.y_followers_count","public_metrics.y_following_count","public_metrics.y_tweet_count","public_metrics.y_listed_count","text_with_display_links"
"1","The governor is responsible, but those who came before him are too. This is a combination of things...Corexit, the Gulf Oil Spill,... . https   www wtsp com article news local theyll bring gloves you bring tools manatee county calls on volunteers for red tide cleanup 67 586451436","3384569867","everyone",2018-08-24 20:33:51,"1033090028497321984",FALSE,"1033090028497321984","en","Florida, USA",FALSE,"https://pbs.twimg.com/profile_images/627183334267879424/Sl-gfpiU_normal.png","DGRFlorida","DGR Florida",NA,FALSE,"Official Deep Green Resistance Florida! You can find us on FB: https://t.co/mvnhylwMkI To find out more about this movement go to: http://t.co/nG2ib01BPW","http://t.co/w6WtgsAFRW","2015-07-20T14:25:58.000Z",1,0,0,0,0,328,726,739,9,"The governor is responsible, but those who came before him are too. This is a combination of things...Corexit, the Gulf Oil Spill,... https://t.co/g1ADBe2MH5"
"2","The governor is responsible, but those who came before him are too. This is a combination of things...Corexit, the Gulf Oil Spill,... . https   www wtsp com article news local theyll bring gloves you bring tools manatee county calls on volunteers for red tide cleanup 67 586451436","175569476","everyone",2018-08-24 20:40:23,"1033091674820423681",FALSE,"1033091674820423681","en",NA,FALSE,"https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png","Testingthegulf","Test The Water",NA,FALSE,"",NA,"2010-08-07T00:03:33.000Z",0,0,0,0,0,3,1,1081,0,"The governor is responsible, but those who came before him are too. This is a combination of things...Corexit, the Gulf Oil Spill,... https://t.co/8ZP3h4sFDk"
"3","The governor is responsible, but those who came before him are too. This is a combination of things...Corexit, the Gulf Oil Spill,... . https   www wtsp com article news local theyll bring gloves you bring tools manatee county calls on volunteers for red tide cleanup 67 586451436","773350091440680960","everyone",2018-08-24 20:43:52,"1033092550393921536",FALSE,"1033092550393921536","en","Florida, USA",FALSE,"https://pbs.twimg.com/profile_images/877741789402333184/3WRYV9fK_normal.jpg","Stop_the_Snake","Stop the Snake",NA,FALSE,"Fighting Pipelines Everywhere! #waterprotectors #waterwarriors Formerly #StopSabalTrail","https://t.co/qhwVEKueK1","2016-09-07T02:40:04.000Z",0,0,0,0,0,1190,2015,5259,19,"The governor is responsible, but those who came before him are too. This is a combination of things...Corexit, the Gulf Oil Spill,... https://t.co/EZqKPgFnck"
"4","RT @DGRFlorida: The governor is responsible, but those who came before him are too. This is a combination of things...Corexit, the Gulf Oil…","29393077","everyone",2018-09-10 08:44:58,"1039072225054392320",FALSE,"1039072225054392320","en","USA",FALSE,"https://pbs.twimg.com/profile_images/949941855071846400/vBtTQkZQ_normal.jpg","julesrs007","#MMW Ⓥ(⧖)🌹🏴🐾🐴🐓🦆🐨🐻🦇🦍",NA,FALSE,"Up The Irons🤘System Change #NotMeUs NoLISTS #HumanSupremacy #KoalasNotCoal #KeepItInTheGround #FascismIsCapitalismInDecay",NA,"2009-04-07T05:36:35.000Z",1,0,0,0,0,1965,2597,45874,80,"The governor is responsible, but those who came before him are too. This is a combination of things...Corexit, the Gulf Oil Spill,... https://t.co/g1ADBe2MH5"
