"","text","conversation_id","created_at.x","author_id","lang","reply_settings","possibly_sensitive","id","verified","created_at.y","name","profile_image_url","description","protected","username","url","location","pinned_tweet_id","public_metrics.x_retweet_count","public_metrics.x_reply_count","public_metrics.x_like_count","public_metrics.x_quote_count","public_metrics.x_impression_count","public_metrics.y_followers_count","public_metrics.y_following_count","public_metrics.y_tweet_count","public_metrics.y_listed_count","text_with_display_links"
"1","West Pasco’s sensitive maze of marine ecosystem off the Gulf of Mexico took a hit May 4 after 300,000 gallons of #wastewater spilled from a ruptured pipe in New Port Richey’s #sewage treatment plant . https   www tampabay com pasco new port richey plant spills 150000 gallons of wastewater into cross bayou 20190508","1127347811660500992",2019-05-11 23:00:38,"1088196428961406976","en","everyone",FALSE,"1127347811660500992",FALSE,"2019-01-23T22:07:01.000Z","American Water Security Project","https://pbs.twimg.com/profile_images/1088562451866501120/isA81Jbq_normal.jpg","Promoting the need for #sewage and #wastewater #infrastructure upgrades and repairs, #ethical treatment of wastewater, and protection of our nation's waters",FALSE,"awsproject","https://t.co/AR8sz1dyFZ",NA,NA,0,0,0,0,0,92,95,1368,1,"West Pasco’s sensitive maze of marine ecosystem off the Gulf of Mexico took a hit May 4 after 300,000 gallons of #wastewater spilled from a ruptured pipe in New Port Richey’s #sewage treatment plant https://t.co/t0uySzmdjb"
"2","Heavy rain in July led to a #Florida utility dumping 18M gallons of partially treated wastewater into the Gulf of Mexico, records reveal.  via @bbehrendttimes. https   www tampabay com news pasco 2021 09 15 west pasco spill dumps 18 million gallons of partially treated wastewater into the gulf","1438155983491158016",2021-09-15 15:01:20,"62575859","en","everyone",FALSE,"1438155983491158016",FALSE,"2009-08-03T17:55:56.000Z","Craig Pittman","https://pbs.twimg.com/profile_images/1438867672494657541/cMKAyT15_normal.jpg","THE STATE YOU'RE IN & MANATEE INSANITY both out in paperback now! Other books: NYT bestseller OH, FLORIDA! & CAT TALE. Columnist, Florida Phoenix. Florida man.",FALSE,"craigtimes","https://t.co/Y1kqEYKFCg","St. Petersburg FL","1437092398249689093",6,3,5,2,0,20627,2285,180256,859,"Heavy rain in July led to a #Florida utility dumping 18M gallons of partially treated wastewater into the Gulf of Mexico, records reveal. https://t.co/PsyAL5kk3j via @bbehrendttimes"
"3","RT @craigtimes: Heavy rain in July led to a #Florida utility dumping 18M gallons of partially treated wastewater into the Gulf of Mexico, r…","1438156683176407044",2021-09-15 15:04:07,"444805944","en","everyone",FALSE,"1438156683176407044",FALSE,"2011-12-23T17:22:28.000Z","AstroManatee","https://pbs.twimg.com/profile_images/1710143681/snooty_normal.jpg","Wake Forest, LSU, and UGA alum. Tweets are my own. RTs are NOT (necessarily) endorsements.",FALSE,"AstroManatee",NA,"Hobe Sound, FL","852113583886524417",6,0,0,0,0,213,831,15864,14,"Heavy rain in July led to a #Florida utility dumping 18M gallons of partially treated wastewater into the Gulf of Mexico, records reveal. https://t.co/PsyAL5kk3j via @bbehrendttimes"
"4","RT @craigtimes: Heavy rain in July led to a #Florida utility dumping 18M gallons of partially treated wastewater into the Gulf of Mexico, r…","1438167393117904906",2021-09-15 15:46:41,"1052608430853292032","en","everyone",FALSE,"1438167393117904906",FALSE,"2018-10-17T17:13:01.000Z","Dominicscatholicunite","https://pbs.twimg.com/profile_images/1052613919011983360/KGD6bJ4D_normal.jpg","Lover of God 
Bible scholar 
🎓 - Philosophy and Christian religion studies
📱",FALSE,"Dominicscatholi",NA,"Lagos ","1290440893619679232",6,0,0,0,0,131,271,2119,0,"Heavy rain in July led to a #Florida utility dumping 18M gallons of partially treated wastewater into the Gulf of Mexico, records reveal. https://t.co/PsyAL5kk3j via @bbehrendttimes"
"5","RT @craigtimes: Heavy rain in July led to a #Florida utility dumping 18M gallons of partially treated wastewater into the Gulf of Mexico, r…","1438181142218280967",2021-09-15 16:41:19,"2414913756","en","everyone",FALSE,"1438181142218280967",FALSE,"2014-03-27T21:29:48.000Z","Le Chat Biden Democrat","https://pbs.twimg.com/profile_images/1044311228661694464/8WGI5ptD_normal.jpg","#VOTE BLUE 2022 🌊🇺🇸🌊 #BuyARepublicanToday! no DM’s",FALSE,"LeChatNoire4",NA,"Florida","1222268511134896129",6,0,0,0,0,14256,13683,1102946,336,"Heavy rain in July led to a #Florida utility dumping 18M gallons of partially treated wastewater into the Gulf of Mexico, records reveal. https://t.co/PsyAL5kk3j via @bbehrendttimes"
"6","RT @craigtimes: Heavy rain in July led to a #Florida utility dumping 18M gallons of partially treated wastewater into the Gulf of Mexico, r…","1438182030093832205",2021-09-15 16:44:50,"896218406","en","everyone",FALSE,"1438182030093832205",FALSE,"2012-10-21T21:44:40.000Z","Sullyanne","https://pbs.twimg.com/profile_images/3190314347/18b2c12c480815aa9dbba15600a156a2_normal.jpeg","",FALSE,"Sullyanne1",NA,NA,NA,6,0,0,0,0,2512,3727,547505,310,"Heavy rain in July led to a #Florida utility dumping 18M gallons of partially treated wastewater into the Gulf of Mexico, records reveal. https://t.co/PsyAL5kk3j via @bbehrendttimes"
"7","RT @craigtimes: Heavy rain in July led to a #Florida utility dumping 18M gallons of partially treated wastewater into the Gulf of Mexico, r…","1438184452375646209",2021-09-15 16:54:28,"65943167","en","everyone",FALSE,"1438184452375646209",FALSE,"2009-08-15T17:56:32.000Z","Tom","https://pbs.twimg.com/profile_images/378800000513113211/dc579e64c3f697f3eaa80b20ddb934ae_normal.jpeg","",FALSE,"insonifier",NA,"Pennsyltucky",NA,6,0,0,0,0,4555,4971,420606,54,"Heavy rain in July led to a #Florida utility dumping 18M gallons of partially treated wastewater into the Gulf of Mexico, records reveal. https://t.co/PsyAL5kk3j via @bbehrendttimes"
"8","""Heavy rain in July led to an 18 million-gallon discharge of partially treated wastewater into the Gulf of Mexico from the Embassy Hills Waste Water Treatment Plant in Port Richey, officials have reported."" #TampaBayTimes . https   www tampabay com news pasco 2021 09 15 west pasco spill dumps 18 million gallons of partially treated wastewater into the gulf","1449748282901737480",2021-10-17 14:45:00,"2744636196","en","everyone",FALSE,"1449748282901737480",FALSE,"2014-08-19T11:33:25.000Z","PO","https://pbs.twimg.com/profile_images/1412860874239447045/JWk00fVV_normal.jpg","The designation awarded to C2EP-certified water environment industry operators signifying they have met the most rigorous standards of their profession.",FALSE,"POCertification","https://t.co/8icXEn0dmf","Ankeny, Iowa",NA,0,0,0,0,0,104,172,399,2,"""Heavy rain in July led to an 18 million-gallon discharge of partially treated wastewater into the Gulf of Mexico from the Embassy Hills Waste Water Treatment Plant in Port Richey, officials have reported."" #TampaBayTimes https://t.co/5q1zzzCjXq"
"9","""Heavy rain in July led to an 18 million-gallon discharge of partially treated wastewater into the Gulf of Mexico from the Embassy Hills Waste Water Treatment Plant in Port Richey, officials have reported."" #TampaBayTimes . https   www tampabay com news pasco 2021 09 15 west pasco spill dumps 18 million gallons of partially treated wastewater into the gulf","1449759607581286405",2021-10-17 15:30:00,"1946976822","en","everyone",FALSE,"1449759607581286405",FALSE,"2013-10-08T14:07:50.000Z","Water Professionals International","https://pbs.twimg.com/profile_images/1487099044279296005/PZrsfU7r_normal.jpg","WPI is dedicated to advancing the quality and integrity of environmental certification programs around the world.",FALSE,"GO_WPI","https://t.co/PFQEeUUPXw",NA,NA,0,0,0,0,0,236,247,854,2,"""Heavy rain in July led to an 18 million-gallon discharge of partially treated wastewater into the Gulf of Mexico from the Embassy Hills Waste Water Treatment Plant in Port Richey, officials have reported."" #TampaBayTimes https://t.co/zkQDSEna9P"
